urllib3.connectionpool | DEBUG | http://127.0.0.1:51017 "POST /session/3801fe230716432abf7997a85af5581f/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:54301
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session HTTP/1.1" 200 641
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session/cad736985f9d04163809a435f9879ec4/timeouts HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session/cad736985f9d04163809a435f9879ec4/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session/cad736985f9d04163809a435f9879ec4/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session/cad736985f9d04163809a435f9879ec4/url HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session/cad736985f9d04163809a435f9879ec4/url HTTP/1.1" 200 14
Disc_CommonFunctionality | INFO  | Open URL successful
Disc_CommonFunctionality | INFO  | Open URL successful
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session/cad736985f9d04163809a435f9879ec4/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session/cad736985f9d04163809a435f9879ec4/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session/cad736985f9d04163809a435f9879ec4/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "POST /session/cad736985f9d04163809a435f9879ec4/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "GET /session/cad736985f9d04163809a435f9879ec4/screenshot HTTP/1.1" 200 743324
urllib3.connectionpool | DEBUG | http://127.0.0.1:54301 "GET /session/cad736985f9d04163809a435f9879ec4/screenshot HTTP/1.1" 200 743324
urllib3.connectionpool | DEBUG | http://127.0.0.1:42491 "POST /session/2f365fa093f8255656a1e9201ba56dcd/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:39519
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session HTTP/1.1" 200 641
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session/aed72111577c631c08c8b90e2c1d3609/timeouts HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session/aed72111577c631c08c8b90e2c1d3609/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session/aed72111577c631c08c8b90e2c1d3609/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session/aed72111577c631c08c8b90e2c1d3609/url HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session/aed72111577c631c08c8b90e2c1d3609/url HTTP/1.1" 200 14
Disc_CommonFunctionality | INFO  | Open URL successful
Disc_CommonFunctionality | INFO  | Open URL successful
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session/aed72111577c631c08c8b90e2c1d3609/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session/aed72111577c631c08c8b90e2c1d3609/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session/aed72111577c631c08c8b90e2c1d3609/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "POST /session/aed72111577c631c08c8b90e2c1d3609/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "GET /session/aed72111577c631c08c8b90e2c1d3609/screenshot HTTP/1.1" 200 743580
urllib3.connectionpool | DEBUG | http://127.0.0.1:39519 "GET /session/aed72111577c631c08c8b90e2c1d3609/screenshot HTTP/1.1" 200 743580
