urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 72
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
